threshold,precision,recall,f1,accuracy,auc
0.0,0.52,1.0,0.68,0.52,0.96
0.06,0.83,0.95,0.89,0.88,0.96
0.11,0.85,0.92,0.88,0.88,0.96
0.17,0.85,0.9,0.88,0.87,0.96
0.22,0.85,0.89,0.87,0.86,0.96
0.28,0.88,0.89,0.89,0.88,0.96
0.33,0.89,0.89,0.89,0.88,0.96
0.39,0.89,0.89,0.89,0.88,0.96
0.44,0.88,0.88,0.88,0.88,0.96
0.5,0.89,0.88,0.88,0.88,0.96
0.56,0.89,0.88,0.88,0.88,0.96
0.61,0.91,0.87,0.89,0.88,0.96
0.67,0.93,0.87,0.9,0.9,0.96
0.72,0.93,0.85,0.88,0.88,0.96
0.78,0.94,0.82,0.88,0.88,0.96
0.83,0.94,0.81,0.87,0.88,0.96
0.89,0.95,0.79,0.86,0.87,0.96
0.94,0.97,0.74,0.84,0.86,0.96
1.0,0.0,0.0,0.0,0.48,0.96
