threshold,precision,recall,f1,accuracy,auc
0.0,0.52,1.0,0.68,0.52,0.85
0.05,0.55,0.97,0.71,0.58,0.85
0.1,0.58,0.96,0.72,0.62,0.85
0.15,0.59,0.94,0.73,0.63,0.85
0.2,0.62,0.94,0.75,0.67,0.85
0.25,0.64,0.94,0.76,0.69,0.85
0.3,0.66,0.92,0.77,0.71,0.85
0.35,0.7,0.89,0.79,0.75,0.85
0.4,0.74,0.87,0.8,0.78,0.85
0.45,0.76,0.84,0.8,0.78,0.85
0.5,0.8,0.83,0.82,0.8,0.85
0.55,0.84,0.73,0.78,0.79,0.85
0.6,0.84,0.7,0.76,0.78,0.85
0.65,0.86,0.68,0.76,0.78,0.85
0.7,0.88,0.62,0.72,0.76,0.85
0.75,0.9,0.51,0.65,0.72,0.85
0.8,0.91,0.51,0.65,0.72,0.85
0.85,0.9,0.45,0.6,0.69,0.85
0.9,0.92,0.33,0.48,0.64,0.85
0.95,0.93,0.26,0.41,0.6,0.85
1.0,0.93,0.26,0.41,0.6,0.85
