threshold,precision,recall,f1,accuracy,auc
0.0,0.52,1.0,0.68,0.52,0.97
0.05,0.77,0.99,0.87,0.84,0.97
0.1,0.79,0.99,0.88,0.86,0.97
0.15,0.8,0.99,0.88,0.86,0.97
0.2,0.82,0.98,0.89,0.88,0.97
0.25,0.83,0.96,0.89,0.88,0.97
0.3,0.85,0.95,0.9,0.89,0.97
0.35,0.86,0.93,0.89,0.88,0.97
0.4,0.88,0.9,0.89,0.88,0.97
0.45,0.9,0.89,0.9,0.9,0.97
0.5,0.9,0.88,0.89,0.88,0.97
0.55,0.9,0.87,0.88,0.88,0.97
0.6,0.92,0.87,0.89,0.89,0.97
0.65,0.94,0.84,0.88,0.88,0.97
0.7,0.96,0.82,0.88,0.88,0.97
0.75,0.95,0.8,0.87,0.88,0.97
0.8,0.96,0.76,0.85,0.86,0.97
0.85,0.97,0.73,0.84,0.85,0.97
0.9,0.99,0.7,0.82,0.84,0.97
0.95,1.0,0.62,0.76,0.8,0.97
1.0,0.0,0.0,0.0,0.48,0.97
